akr_id,akr_name,akr_code,obs_id,obs_name,obs_code
1506,Arrowtooth Flounder,121,117,ARROWTOOTH FLOUNDER,141
1521,"Poacher, general",219,119,POACHER UNIDENTIFIED,450
83,Red King Crab,921,131,CRAB UNIDENTIFIED,1
85,"Crab, Golden King (Brown)",923,131,CRAB UNIDENTIFIED,1
1026,"Crabs, box",900,131,CRAB UNIDENTIFIED,1
1027,"Crab, dungeness",910,131,CRAB UNIDENTIFIED,1
1613,"Crab, Verrilli",953,131,CRAB UNIDENTIFIED,1
83,Red King Crab,921,136,LITHODID CRAB UNIDENTIFIED,14
73,"Shark, Other",689,162,SPINY DOGFISH SHARK,66
994,Giant grenadier,214,167,GIANT GRENADIER,82
1514,Bering Flounder,116,181,BERING FLOUNDER,145
2,Pacific Cod,110,198,GADID UNIDENTIFIED,215
1504,Saffron Cod,111,198,GADID UNIDENTIFIED,215
36,Widow Rockfish,156,216,WIDOW ROCKFISH,305
30,Rosethorn Rockfish,150,220,ROSETHORN ROCKFISH,309
37,Silvergray Rockfish,157,221,SILVERGRAY ROCKFISH,310
26,Canary Rockfish,146,224,CANARY ROCKFISH,314
1533,Large Sculpins - Great Sculpin,281,250,GREAT SCULPIN,405
1538,Other Large Sculpins,286,257,IRISH LORD UNIDENTIFIED,418
1521,"Poacher, general",219,259,STURGEON POACHER,452
1521,"Poacher, general",219,260,GRAY STARSNOUT POACHER,456
1550,"Smelt, Surf",515,272,SMELT/HERRING UNIDENTIFIED,600
70,"Smelt, Eulachon",511,273,EULACHON,601
1550,"Smelt, Surf",515,274,SMELT UNIDENTIFIED,602
1614,Pacific Herring (directed fishery),230,282,PACIFIC HERRING,611
1004,Pacific sardine,170,283,PACIFIC SARDINE,614
1521,"Poacher, general",219,373,BLACKFIN POACHER,455
1531,Other Small Sculpins,160,381,MOSSHEAD SCULPIN,421
1032,"Shrimp, sidestripe",962,404,SIDESTRIPE SHRIMP,72
1621,"Skate, Other",700,410,DEEPSEA SKATE,92
41,Sharpchin Rockfish,166,454,SMALL RED ROCKFISH GROUP,348
